reference,citation,url
Microsoft - Add-MailboxPermission,"Microsoft. (n.d.). Add-Mailbox Permission. Retrieved September 13, 2019.",https://docs.microsoft.com/en-us/powershell/module/exchange/mailboxes/add-mailboxpermission?view=exchange-ps
Microsoft - Azure AD App Registration - May 2019,"Microsoft. (2019, May 8). Quickstart: Register an application with the Microsoft identity platform. Retrieved September 12, 2019.",https://docs.microsoft.com/en-us/azure/active-directory/develop/quickstart-register-app
Microsoft - Azure AD Federation,"Microsoft. (2018, November 28). What is federation with Azure AD?. Retrieved December 30, 2020.",https://docs.microsoft.com/en-us/azure/active-directory/hybrid/whatis-fed
Microsoft - Azure AD Identity Tokens - Aug 2019,"Microsoft. (2019, August 29). Microsoft identity platform access tokens. Retrieved September 12, 2019.",https://docs.microsoft.com/en-us/azure/active-directory/develop/access-tokens
Microsoft - Azure Sentinel ADFSDomainTrustMods,"Microsoft. (2020, December). Azure Sentinel Detections. Retrieved December 30, 2020.",https://github.com/Azure/Azure-Sentinel/blob/master/Detections/AuditLogs/ADFSDomainTrustMods.yaml
Microsoft - Cached Creds,"Microsfot. (2016, August 21). Cached and Stored Credentials Technical Overview. Retrieved February 21, 2020.",https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/hh994565(v%3Dws.11)
Microsoft - Customer Guidance on Recent Nation-State Cyber Attacks,"MSRC. (2020, December 13). Customer Guidance on Recent Nation-State Cyber Attacks. Retrieved December 30, 2020.",https://msrc-blog.microsoft.com/2020/12/13/customer-guidance-on-recent-nation-state-cyber-attacks/
Microsoft - Device Registration,"Microsoft 365 Defender Threat Intelligence Team. (2022, January 26). Evolved phishing: Device registration trick adds to phishers’ toolbox for victims without MFA. Retrieved March 4, 2022.",https://www.microsoft.com/security/blog/2022/01/26/evolved-phishing-device-registration-trick-adds-to-phishers-toolbox-for-victims-without-mfa
Microsoft - OAuth Code Authorization flow - June 2019,"Microsoft. (n.d.). Microsoft identity platform and OAuth 2.0 authorization code flow. Retrieved September 12, 2019.",https://docs.microsoft.com/en-us/azure/active-directory/develop/v2-oauth2-auth-code-flow
Microsoft - Update or Repair Federated domain,"Microsoft. (2020, September 14). Update or repair the settings of a federated domain in Office 365, Azure, or Intune. Retrieved December 30, 2020.",https://docs.microsoft.com/en-us/office365/troubleshoot/active-directory/update-federated-domain-office-365
Microsoft 365 Defender Solorigate,"Microsoft 365 Defender Team. (2020, December 28). Using Microsoft 365 Defender to protect against Solorigate. Retrieved January 7, 2021.",https://www.microsoft.com/security/blog/2020/12/28/using-microsoft-365-defender-to-coordinate-protection-against-solorigate/
Microsoft 4657 APR 2017,"Miroshnikov, A. & Hall, J. (2017, April 18). 4657(S): A registry value was modified. Retrieved August 9, 2018.",https://docs.microsoft.com/windows/security/threat-protection/auditing/event-4657
Microsoft 4697 APR 2017,"Miroshnikov, A. & Hall, J. (2017, April 18). 4697(S): A service was installed in the system. Retrieved August 7, 2018.",https://docs.microsoft.com/windows/security/threat-protection/auditing/event-4697
Microsoft 4768 TGT 2017,"Microsoft. (2017, April 19). 4768(S, F): A Kerberos authentication ticket (TGT) was requested. Retrieved August 24, 2020.",https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4768
Microsoft AD Accounts,"Microsoft. (2019, August 23). Active Directory Accounts. Retrieved March 13, 2020.",https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/active-directory-accounts
Microsoft AD Admin Tier Model,"Microsoft. (2019, February 14). Active Directory administrative tier model. Retrieved February 21, 2020.",https://docs.microsoft.com/en-us/windows-server/identity/securing-privileged-access/securing-privileged-access-reference-material?redirectedfrom=MSDN
Microsoft AD CS Overview,"Microsoft. (2016, August 31). Active Directory Certificate Services Overview. Retrieved August 2, 2022.",https://docs.microsoft.com/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/hh831740(v=ws.11)
Microsoft AD DS Getting Started,"Foulds, I. et al. (2018, August 7). AD DS Getting Started. Retrieved September 23, 2021.",https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/ad-ds-getting-started
Microsoft ADS Mar 2014,"Marlin, J. (2013, March 24). Alternate Data Streams in NTFS. Retrieved March 21, 2018.",https://blogs.technet.microsoft.com/askcore/2013/03/24/alternate-data-streams-in-ntfs/
Microsoft ADV170021 Dec 2017,"Microsoft. (2017, December 12). ADV170021 - Microsoft Office Defense in Depth Update. Retrieved February 3, 2018.",https://portal.msrc.microsoft.com/security-guidance/advisory/ADV170021
Microsoft AMSI,"Microsoft. (2019, April 19). Antimalware Scan Interface (AMSI). Retrieved September 28, 2021.",https://docs.microsoft.com/en-us/windows/win32/amsi/antimalware-scan-interface-portal
Microsoft AMSI June 2015,"Microsoft. (2015, June 9). Windows 10 to offer application developers new malware defenses. Retrieved February 12, 2018.",https://cloudblogs.microsoft.com/microsoftsecure/2015/06/09/windows-10-to-offer-application-developers-new-malware-defenses/?source=mmpc
Microsoft APC,"Microsoft. (n.d.). Asynchronous Procedure Calls. Retrieved December 8, 2017.",https://msdn.microsoft.com/library/windows/desktop/ms681951.aspx
Microsoft ASR Nov 2017,"Brower, N. & D'Souza-Wiltshire, I. (2017, November 9). Enable Attack surface reduction. Retrieved February 3, 2018.",https://docs.microsoft.com/windows/threat-protection/windows-defender-exploit-guard/enable-attack-surface-reduction
Microsoft AZ CLI,"Microsoft. (n.d.). az ad user. Retrieved October 6, 2019.",https://docs.microsoft.com/en-us/cli/azure/ad/user?view=azure-cli-latest
Microsoft About BITS,"Microsoft. (2019, July 12). About BITS. Retrieved March 16, 2020.",https://docs.microsoft.com/en-us/windows/win32/bits/about-bits
Microsoft About Event Tracing 2018,"Microsoft. (2018, May 30). About Event Tracing. Retrieved June 7, 2019.",https://docs.microsoft.com/en-us/windows/desktop/etw/consuming-events
Microsoft About Profiles,"Microsoft. (2017, November 29). About Profiles. Retrieved June 14, 2019.",https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles?view=powershell-6
Microsoft Access Control Lists May 2018,"M. Satran, M. Jacobs. (2018, May 30). Access Control Lists. Retrieved February 4, 2020.",https://docs.microsoft.com/en-us/windows/win32/secauthz/access-control-lists
Microsoft Actinium February 2022,"Microsoft Threat Intelligence Center. (2022, February 4). ACTINIUM targets Ukrainian organizations. Retrieved February 18, 2022.",https://www.microsoft.com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/
Microsoft AddPrintProcessor May 2018,"Microsoft. (2018, May 31). AddPrintProcessor function. Retrieved October 5, 2020.",https://docs.microsoft.com/en-us/windows/win32/printdocs/addprintprocessor
Microsoft Admin Shares,"Microsoft. (n.d.). How to create and delete hidden or administrative shares on client computers. Retrieved November 20, 2014.",http://support.microsoft.com/kb/314984
Microsoft AlwaysInstallElevated 2018,"Microsoft. (2018, May 31). AlwaysInstallElevated. Retrieved December 14, 2020.",https://docs.microsoft.com/en-us/windows/win32/msi/alwaysinstallelevated
Microsoft Analyzing Solorigate Dec 2020,"MSTIC. (2020, December 18). Analyzing Solorigate, the compromised DLL file that started a sophisticated cyberattack, and how Microsoft Defender helps protect customers . Retrieved January 5, 2021.",https://www.microsoft.com/security/blog/2020/12/18/analyzing-solorigate-the-compromised-dll-file-that-started-a-sophisticated-cyberattack-and-how-microsoft-defender-helps-protect/
Microsoft Anti Spoofing,"Microsoft. (2020, October 13). Anti-spoofing protection in EOP. Retrieved October 19, 2020.",https://docs.microsoft.com/en-us/microsoft-365/security/office-365-security/anti-spoofing-protection?view=o365-worldwide
Microsoft Application Lockdown,"Corio, C., & Sayana, D. P.. (2008, June). Application Lockdown with Software Restriction Policies. Retrieved November 18, 2014.",https://docs.microsoft.com/en-us/previous-versions/technet-magazine/cc510322(v=msdn.10)?redirectedfrom=MSDN
Microsoft Assoc Oct 2017,"Plett, C. et al.. (2017, October 15). assoc. Retrieved August 7, 2018.",https://docs.microsoft.com/windows-server/administration/windows-commands/assoc
Microsoft Atom Table,"Microsoft. (n.d.). About Atom Tables. Retrieved December 8, 2017.",https://msdn.microsoft.com/library/windows/desktop/ms649053.aspx
Microsoft Audit Logon Events,"Microsoft. (2021, September 6). Audit logon events. Retrieved September 28, 2021.",https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/basic-audit-logon-events
Microsoft Audit Registry July 2012,"Microsoft. (2012, July 2). Audit Registry. Retrieved January 31, 2018.",https://docs.microsoft.com/previous-versions/windows/it-pro/windows-server-2008-R2-and-2008/dd941614(v=ws.10)
Microsoft Authenticode,"Microsoft. (n.d.). Authenticode. Retrieved January 31, 2018.",https://msdn.microsoft.com/library/ms537359.aspx
Microsoft Azure AD Admin Consent,"Baldwin, M., Flores, J., Kess, B.. (2018, June 17). Five steps to securing your identity infrastructure. Retrieved October 4, 2019.",https://docs.microsoft.com/en-us/azure/security/fundamentals/steps-secure-identity#block-end-user-consent
Microsoft Azure AD Users,"Microsoft. (2019, November 11). Add or delete users using Azure Active Directory. Retrieved January 30, 2020.",https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/add-users-azure-active-directory
Microsoft Azure Instance Metadata 2021,"Microsoft. (2021, February 21). Azure Instance Metadata Service (Windows). Retrieved April 2, 2021.",https://docs.microsoft.com/en-us/azure/virtual-machines/windows/instance-metadata-service?tabs=windows
"Microsoft Azure Storage Security, 2019","Amlekar, M., Brooks, C., Claman, L., et. al.. (2019, March 20). Azure Storage security guide. Retrieved October 4, 2019.",https://docs.microsoft.com/en-us/azure/storage/common/storage-security-guide
Microsoft Azure Virtual Network Overview,"Annamalai, N., Casey, C., Almeida, M., et. al.. (2019, June 18). What is Azure Virtual Network?. Retrieved October 6, 2019.",https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-overview
Microsoft BEC Campaign,"Carr, N., Sellmer, S. (2021, June 14). Behind the scenes of business email compromise: Using cross-domain threat data to disrupt a large BEC campaign. Retrieved June 15, 2021.",https://www.microsoft.com/security/blog/2021/06/14/behind-the-scenes-of-business-email-compromise-using-cross-domain-threat-data-to-disrupt-a-large-bec-infrastructure/
Microsoft BITS,"Microsoft. (n.d.). Background Intelligent Transfer Service. Retrieved January 12, 2018.",https://msdn.microsoft.com/library/windows/desktop/bb968799.aspx
Microsoft BITSAdmin,"Microsoft. (n.d.). BITSAdmin Tool. Retrieved January 12, 2018.",https://msdn.microsoft.com/library/aa362813.aspx
Microsoft Basic TxF Concepts,"Microsoft. (n.d.). Basic TxF Concepts. Retrieved December 20, 2017.",https://msdn.microsoft.com/library/windows/desktop/dd979526.aspx
Microsoft Block Office Macros,"Windows Defender Research. (2016, March 22). New feature in Office 2016 can block macros and help prevent infection. Retrieved April 11, 2018.",https://cloudblogs.microsoft.com/microsoftsecure/2016/03/22/new-feature-in-office-2016-can-block-macros-and-help-prevent-infection/
Microsoft Bootcfg,"Gerend, J. et al. (2017, October 16). bootcfg. Retrieved August 30, 2021.",https://docs.microsoft.com/windows-server/administration/windows-commands/bootcfg
Microsoft CLR Integration 2017,"Microsoft. (2017, June 19). Common Language Runtime Integration. Retrieved July 8, 2019.",https://docs.microsoft.com/en-us/sql/relational-databases/clr-integration/common-language-runtime-integration-overview?view=sql-server-2017
Microsoft COM,"Microsoft. (n.d.). Component Object Model (COM). Retrieved November 22, 2017.",https://msdn.microsoft.com/library/windows/desktop/ms680573.aspx
Microsoft COM ACL,"Microsoft. (n.d.). DCOM Security Enhancements in Windows XP Service Pack 2 and Windows Server 2003 Service Pack 1. Retrieved November 22, 2017.",https://docs.microsoft.com/en-us/windows/desktop/com/dcom-security-enhancements-in-windows-xp-service-pack-2-and-windows-server-2003-service-pack-1
Microsoft COR_PROFILER Feb 2013,"Microsoft. (2013, February 4). Registry-Free Profiler Startup and Attach. Retrieved June 24, 2020.",https://docs.microsoft.com/en-us/previous-versions/dotnet/netframework-4.0/ee471451(v=vs.100)
Microsoft CVE-2017-8625 Aug 2017,"Microsoft. (2017, August 8). CVE-2017-8625 - Internet Explorer Security Feature Bypass Vulnerability. Retrieved October 3, 2018.",https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-8625
Microsoft CVE-2021-1732 Feb 2021,"Microsoft. (2018, February 9). Windows Win32k Elevation of Privilege Vulnerability CVE-2021-1732. Retrieved June 1, 2022.",https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-1732
Microsoft Catalog Files and Signatures April 2017,"Hudek, T. (2017, April 20). Catalog Files and Digital Signatures. Retrieved January 31, 2018.",https://docs.microsoft.com/windows-hardware/drivers/install/catalog-files
Microsoft Change Default Programs,"Microsoft. (n.d.). Change which programs Windows 7 uses by default. Retrieved July 26, 2016.",https://support.microsoft.com/en-us/help/18539/windows-7-change-default-programs
Microsoft Change Normal Template,"Microsoft. (n.d.). Change the Normal template (Normal.dotm). Retrieved July 3, 2017.",https://support.office.com/article/Change-the-Normal-template-Normal-dotm-06de294b-d216-47f6-ab77-ccb5166f98ea
Microsoft Clear-EventLog,"Microsoft. (n.d.). Clear-EventLog. Retrieved July 2, 2018.",https://docs.microsoft.com/powershell/module/microsoft.powershell.management/clear-eventlog
Microsoft Cloud App Security,"Niv Goldenberg. (2018, December 12). Rule your inbox with Microsoft Cloud App Security. Retrieved June 7, 2021.",https://techcommunity.microsoft.com/t5/security-compliance-and-identity/rule-your-inbox-with-microsoft-cloud-app-security/ba-p/299154
Microsoft Command-line Logging,"Mathers, B. (2017, March 7). Command line process auditing. Retrieved April 21, 2017.",https://technet.microsoft.com/en-us/windows-server-docs/identity/ad-ds/manage/component-updates/command-line-process-auditing
Microsoft Component Object Model,"Microsoft. (n.d.). The Component Object Model. Retrieved August 18, 2016.",https://msdn.microsoft.com/library/ms694363.aspx
Microsoft Configure LSA,"Microsoft. (2013, July 31). Configuring Additional LSA Protection. Retrieved June 24, 2015.",https://technet.microsoft.com/en-us/library/dn408187.aspx
Microsoft Connection Manager Oct 2009,"Microsoft. (2009, October 8). How Connection Manager Works. Retrieved April 11, 2018.",https://docs.microsoft.com/previous-versions/windows/it-pro/windows-server-2003/cc786431(v=ws.10)
Microsoft Create Token,"Brower, N., Lich, B. (2017, April 19). Create a token object. Retrieved December 19, 2017.",https://docs.microsoft.com/windows/device-security/security-policy-settings/create-a-token-object
Microsoft CreateProcess,"Microsoft. (n.d.). CreateProcess function. Retrieved December 5, 2014.",http://msdn.microsoft.com/en-us/library/ms682425
Microsoft CredEnumerate,"Microsoft. (2018, December 5). CredEnumarateA function (wincred.h). Retrieved November 24, 2020.",https://docs.microsoft.com/en-us/windows/win32/api/wincred/nf-wincred-credenumeratea
Microsoft Credential Guard April 2017,"Lich, B., Tobin, J. (2017, April 5). How Windows Defender Credential Guard works. Retrieved November 27, 2017.",https://docs.microsoft.com/windows/access-protection/credential-guard/credential-guard-how-it-works
Microsoft Credential Locker,"Microsoft. (2013, October 23). Credential Locker Overview. Retrieved November 24, 2020.",https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-8.1-and-8/jj554668(v=ws.11)?redirectedfrom=MSDN
Microsoft Credential Manager store,"Microsoft. (2016, August 31). Cached and Stored Credentials Technical Overview. Retrieved November 24, 2020.",https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/hh994565(v=ws.11)#credential-manager-store
Microsoft CryptUnprotectData April 2018,"Microsoft. (2018, April 12). CryptUnprotectData function. Retrieved June 18, 2019.",https://docs.microsoft.com/en-us/windows/desktop/api/dpapi/nf-dpapi-cryptunprotectdata
Microsoft CurrentControlSet Services,"Microsoft. (2017, April 20). HKLM\SYSTEM\CurrentControlSet\Services Registry Tree. Retrieved March 16, 2020.",https://docs.microsoft.com/en-us/windows-hardware/drivers/install/hklm-system-currentcontrolset-services-registry-tree
Microsoft DACL May 2018,"Microsoft. (2018, May 30). DACLs and ACEs. Retrieved August 19, 2018.",https://docs.microsoft.com/windows/desktop/secauthz/dacls-and-aces
Microsoft DART Case Report 001,"Berk Veral. (2020, March 9). Real-life cybercrime stories from DART, the Microsoft Detection and Response Team. Retrieved May 27, 2022.",https://www.microsoft.com/security/blog/2020/03/09/real-life-cybercrime-stories-dart-microsoft-detection-and-response-team
Microsoft DDE Advisory Nov 2017,"Microsoft. (2017, November 8). Microsoft Security Advisory 4053440 - Securely opening Microsoft Office documents that contain Dynamic Data Exchange (DDE) fields. Retrieved November 21, 2017.",https://technet.microsoft.com/library/security/4053440
Microsoft DEV-0537,"Microsoft. (2022, March 22). DEV-0537 criminal actor targeting organizations for data exfiltration and destruction. Retrieved March 23, 2022.",https://www.microsoft.com/security/blog/2022/03/22/dev-0537-criminal-actor-targeting-organizations-for-data-exfiltration-and-destruction/
Microsoft DLL Preloading,"Microsoft. (2010, August 12). More information about the DLL Preloading remote attack vector. Retrieved December 5, 2014.",http://blogs.technet.com/b/srd/archive/2010/08/23/more-information-about-dll-preloading-remote-attack-vector.aspx
Microsoft DLL Search,"Microsoft. (n.d.). Dynamic-Link Library Search Order. Retrieved November 30, 2014.",http://msdn.microsoft.com/en-US/library/ms682586
Microsoft DLL Security,"Microsoft. (n.d.). Dynamic-Link Library Security. Retrieved November 27, 2017.",https://msdn.microsoft.com/library/windows/desktop/ff919712.aspx
Microsoft DRSR Dec 2017,"Microsoft. (2017, December 1). MS-DRSR Directory Replication Service (DRS) Remote Protocol. Retrieved December 4, 2017.",https://msdn.microsoft.com/library/cc228086.aspx
Microsoft DSE June 2017,"Microsoft. (2017, June 1). Digital Signatures for Kernel Modules on Windows. Retrieved April 22, 2021.",https://docs.microsoft.com/en-us/previous-versions/windows/hardware/design/dn653559(v=vs.85)?redirectedfrom=MSDN
Microsoft DTC,"Microsoft. (2011, January 12). Distributed Transaction Coordinator. Retrieved February 25, 2016.",https://technet.microsoft.com/en-us/library/cc759136(v=ws.10).aspx
Microsoft DUBNIUM Flash June 2016,"Microsoft. (2016, June 20). Reverse-engineering DUBNIUM’s Flash-targeting exploit. Retrieved March 31, 2021.",https://www.microsoft.com/security/blog/2016/06/20/reverse-engineering-dubniums-flash-targeting-exploit/
Microsoft DUBNIUM July 2016,"Microsoft. (2016, July 14). Reverse engineering DUBNIUM – Stage 2 payload analysis . Retrieved March 31, 2021.",https://www.microsoft.com/security/blog/2016/07/14/reverse-engineering-dubnium-stage-2-payload-analysis/
Microsoft DUBNIUM June 2016,"Microsoft. (2016, June 9). Reverse-engineering DUBNIUM. Retrieved March 31, 2021.",https://www.microsoft.com/security/blog/2016/06/09/reverse-engineering-dubnium-2/
Microsoft Deep Dive Solorigate January 2021,"MSTIC, CDOC, 365 Defender Research Team. (2021, January 20). Deep dive into the Solorigate second-stage activation: From SUNBURST to TEARDROP and Raindrop . Retrieved January 22, 2021.",https://www.microsoft.com/security/blog/2021/01/20/deep-dive-into-the-solorigate-second-stage-activation-from-sunburst-to-teardrop-and-raindrop/
Microsoft Deploying AD Federation,"Microsoft. (n.d.). Deploying Active Directory Federation Services in Azure. Retrieved March 13, 2020.",https://docs.microsoft.com/en-us/windows-server/identity/ad-fs/deployment/how-to-connect-fed-azure-adfs
Microsoft Detect Outlook Forms,"Fox, C., Vangel, D. (2018, April 22). Detect and Remediate Outlook Rules and Custom Forms Injections Attacks in Office 365. Retrieved February 4, 2019.",https://docs.microsoft.com/en-us/office365/securitycompliance/detect-and-remediate-outlook-rules-forms-attack
Microsoft Detecting Kerberoasting Feb 2018,"Bani, M. (2018, February 23). Detecting Kerberoasting activity using Azure Security Center. Retrieved March 23, 2018.",https://blogs.technet.microsoft.com/motiba/2018/02/23/detecting-kerberoasting-activity-using-azure-security-center/
Microsoft Dev Blog IFEO Mar 2010,"Shanbhag, M. (2010, March 24). Image File Execution Options (IFEO). Retrieved December 18, 2017.",https://blogs.msdn.microsoft.com/mithuns/2010/03/24/image-file-execution-options-ifeo/
Microsoft Digital Defense FY20 Sept 2020,"Microsoft . (2020, September 29). Microsoft Digital Defense Report FY20. Retrieved April 21, 2021.",https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RWxPuf
Microsoft DirSync,"Microsoft. (n.d.). Polling for Changes Using the DirSync Control. Retrieved March 30, 2018.",https://msdn.microsoft.com/en-us/library/ms677626.aspx
Microsoft Disable Autorun,"Microsoft. (n.d.). How to disable the Autorun functionality in Windows. Retrieved April 20, 2016.",https://support.microsoft.com/en-us/kb/967715
Microsoft Disable DCOM,"Microsoft. (n.d.). Enable or Disable DCOM. Retrieved November 22, 2017.",https://technet.microsoft.com/library/cc771387.aspx
Microsoft Disable Macros,"Microsoft. (n.d.). Enable or disable macros in Office files. Retrieved September 13, 2018.",https://support.office.com/article/enable-or-disable-macros-in-office-files-12b036fd-d140-4e74-b45e-16fed1a7e5c6
Microsoft Disable NTLM Nov 2012,"Microsoft. (2012, November 29). Using security policies to restrict NTLM traffic. Retrieved December 4, 2017.",https://technet.microsoft.com/library/jj865668.aspx
Microsoft Disable VBA Jan 2020,"Microsoft. (2020, January 23). How to turn off Visual Basic for Applications when you deploy Office. Retrieved September 17, 2020.",https://docs.microsoft.com/en-us/previous-versions/office/troubleshoot/office-developer/turn-off-visual-basic-for-application
Microsoft Dofoil 2018,"Windows Defender Research. (2018, March 7). Behavior monitoring combined with machine learning spoils a massive Dofoil coin mining campaign. Retrieved March 20, 2018.",https://cloudblogs.microsoft.com/microsoftsecure/2018/03/07/behavior-monitoring-combined-with-machine-learning-spoils-a-massive-dofoil-coin-mining-campaign/
Microsoft Driver Block Rules,"Microsoft. (2020, October 15). Microsoft recommended driver block rules. Retrieved March 16, 2021.",https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-driver-block-rules
Microsoft DsAddSidHistory,"Microsoft. (n.d.). Using DsAddSidHistory. Retrieved November 30, 2017.",https://msdn.microsoft.com/library/ms677982.aspx
Microsoft DuplicateTokenEx,"Microsoft TechNet. (n.d.). Retrieved April 25, 2017.",https://msdn.microsoft.com/en-us/library/windows/desktop/aa446617(v=vs.85).aspx
Microsoft Dynamic Link Library Search Order,"Microsoft. (2018, May 31). Dynamic-Link Library Search Order. Retrieved November 30, 2014.",https://docs.microsoft.com/en-us/windows/win32/dlls/dynamic-link-library-search-order?redirectedfrom=MSDN
Microsoft Dynamic-Link Library Redirection,"Microsoft. (2018, May 31). Dynamic-Link Library Redirection. Retrieved March 13, 2020.",https://docs.microsoft.com/en-us/windows/win32/dlls/dynamic-link-library-redirection?redirectedfrom=MSDN
Microsoft Dynamic-Link Library Security,"Microsoft. (n.d.). Dynamic-Link Library Security. Retrieved July 25, 2016.",https://docs.microsoft.com/en-us/windows/win32/dlls/dynamic-link-library-security?redirectedfrom=MSDN
Microsoft ETW May 2018,"Microsoft. (2018, May 30). Event Tracing. Retrieved September 6, 2018.",https://docs.microsoft.com/windows/desktop/etw/event-tracing-portal
Microsoft Enable Cred Guard April 2017,"Lich, B., Tobin, J., Hall, J. (2017, April 5). Manage Windows Defender Credential Guard. Retrieved November 27, 2017.",https://docs.microsoft.com/windows/access-protection/credential-guard/credential-guard-manage
Microsoft Environment Property,"Microsoft. (2011, October 24). Environment Property. Retrieved July 27, 2016.",https://docs.microsoft.com/en-us/previous-versions//fd7hxfdd(v=vs.85)?redirectedfrom=MSDN
Microsoft Esentutl,"Microsoft. (2016, August 30). Esentutl. Retrieved September 3, 2019.",https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-R2-and-2012/hh875546(v=ws.11)
Microsoft EventLog.Clear,"Microsoft. (n.d.). EventLog.Clear Method (). Retrieved July 2, 2018.",https://msdn.microsoft.com/library/system.diagnostics.eventlog.clear.aspx
Microsoft Exchange Address Lists,"Microsoft. (2020, February 7). Address lists in Exchange Server. Retrieved March 26, 2020.",https://docs.microsoft.com/en-us/exchange/email-addresses-and-address-books/address-lists/address-lists?view=exchserver-2019
Microsoft Expand Utility,"Microsoft. (2017, October 15). Expand. Retrieved February 19, 2019.",https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/expand
Microsoft FTP,"Microsoft. (2021, July 21). ftp. Retrieved February 25, 2022.",https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/ftp
Microsoft File Handlers,"Microsoft. (n.d.). Specifying File Handlers for File Name Extensions. Retrieved November 13, 2014.",http://msdn.microsoft.com/en-us/library/bb166549.aspx
Microsoft File Mgmt,"Microsoft. (2018, May 31). File Management (Local File Systems). Retrieved September 28, 2021.",https://docs.microsoft.com/en-us/windows/win32/fileio/file-management
Microsoft File Streams,"Microsoft. (n.d.). File Streams. Retrieved December 2, 2014.",http://msdn.microsoft.com/en-us/library/aa364404
Microsoft FinFisher March 2018,"Allievi, A.,Flori, E. (2018, March 01). FinFisher exposed: A researcher’s tale of defeating traps, tricks, and complex virtual machines. Retrieved July 9, 2018.",https://cloudblogs.microsoft.com/microsoftsecure/2018/03/01/finfisher-exposed-a-researchers-tale-of-defeating-traps-tricks-and-complex-virtual-machines/
Microsoft Forfiles Aug 2016,"Microsoft. (2016, August 31). Forfiles. Retrieved January 22, 2018.",https://docs.microsoft.com/previous-versions/windows/it-pro/windows-server-2012-R2-and-2012/cc753551(v=ws.11)
Microsoft GALLIUM December 2019,"MSTIC. (2019, December 12). GALLIUM: Targeting global telecom. Retrieved January 13, 2021.",https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/
Microsoft GFlags Mar 2017,"Microsoft. (2017, May 23). GFlags Overview. Retrieved December 18, 2017.",https://docs.microsoft.com/windows-hardware/drivers/debugger/gflags-overview
Microsoft GPO Bluetooth FEB 2009,"Microsoft. (2009, February 9). Disabling Bluetooth and Infrared Beaming. Retrieved July 26, 2018.",https://technet.microsoft.com/library/dd252791.aspx
Microsoft GPO Security Filtering,"Microsoft. (2018, May 30). Filtering the Scope of a GPO. Retrieved March 13, 2019.",https://docs.microsoft.com/en-us/previous-versions/windows/desktop/Policy/filtering-the-scope-of-a-gpo
Microsoft GPP 2016,"Microsoft. (2016, August 31). Group Policy Preferences. Retrieved March 9, 2020.",https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/dn581922(v%3Dws.11)
Microsoft GPP Key,"Microsoft. (n.d.). 2.2.1.1.4 Password Encryption. Retrieved April 11, 2018.",https://msdn.microsoft.com/library/cc422924.aspx
Microsoft Get-ADUser,"Microsoft. (n.d.). Active Directory Cmdlets - Get-ADUser. Retrieved November 30, 2017.",https://technet.microsoft.com/library/ee617241.aspx
Microsoft Get-InboxRule,"Microsoft. (n.d.). Get-InboxRule. Retrieved June 10, 2021.",https://docs.microsoft.com/en-us/powershell/module/exchange/get-inboxrule?view=exchange-ps
Microsoft GetAllTrustRelationships,"Microsoft. (n.d.). Domain.GetAllTrustRelationships Method. Retrieved February 14, 2019.",https://docs.microsoft.com/en-us/dotnet/api/system.directoryservices.activedirectory.domain.getalltrustrelationships?redirectedfrom=MSDN&view=netframework-4.7.2#System_DirectoryServices_ActiveDirectory_Domain_GetAllTrustRelationships
Microsoft GetNCCChanges,"Microsoft. (n.d.). IDL_DRSGetNCChanges (Opnum 3). Retrieved December 4, 2017.",https://msdn.microsoft.com/library/dd207691.aspx
Microsoft GetWindowLong function,"Microsoft. (n.d.). GetWindowLong function. Retrieved December 16, 2017.",https://msdn.microsoft.com/library/windows/desktop/ms633584.aspx
Microsoft HAFNIUM March 2020,"MSTIC. (2021, March 2). HAFNIUM targeting Exchange Servers with 0-day exploits. Retrieved March 3, 2021.",https://www.microsoft.com/security/blog/2021/03/02/hafnium-targeting-exchange-servers/
Microsoft HTML Help ActiveX,"Microsoft. (n.d.). HTML Help ActiveX Control Overview. Retrieved October 3, 2018.",https://msdn.microsoft.com/windows/desktop/ms644670
Microsoft HTML Help Executable Program,"Microsoft. (n.d.). About the HTML Help Executable Program. Retrieved October 3, 2018.",https://msdn.microsoft.com/windows/desktop/ms524405
